D1126,Tongyu06-9406,modern cultivar,2010,japonica,Jilin,NE,12.69,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534615/CRR1534615_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534615/CRR1534615_r2.fq.gz
D1251,Yangengruanyu3,modern cultivar,2012,japonica,Liaoning,NE,12,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534748/CRR1534748_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534748/CRR1534748_r2.fq.gz
D1518,Nongxuan11,modern cultivar,2013,japonica,Shandong,CC-J,13.52,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535029/CRR1535029_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535029/CRR1535029_r2.fq.gz
D3963,Wan5B,modern cultivar,2014,indica,Chongqing,CC-I,14.48,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537480/CRR1537480_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537480/CRR1537480_r2.fq.gz
D2728,Enhui142,modern cultivar,2016,indica,Hubei,CC-I,9.8,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536361/CRR1536361_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536361/CRR1536361_r2.fq.gz
D2571,R223,modern cultivar,2016,indica,Guangxi,SC,13.3,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536195/CRR1536195_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536195/CRR1536195_r2.fq.gz
D968,Longdao27,modern cultivar,2017,japonica,Heilongjiang,NE,21.4,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1538171/CRR1538171_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1538171/CRR1538171_r2.fq.gz
D1900,Fengdao30,modern cultivar,2017,japonica,Yunnan,SW-J,12.19,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535448/CRR1535448_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535448/CRR1535448_r2.fq.gz
D2161,Zhong291,modern cultivar,2018,indica,Anhui,CC-I,10.34,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535743/CRR1535743_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535743/CRR1535743_r2.fq.gz
D2113,R909,modern cultivar,2018,indica,Anhui,CC-I,13.86,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535673/CRR1535673_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535673/CRR1535673_r2.fq.gz
D171,Dongdao9,modern cultivar,2018,japonica,Jilin,NE,11.75,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535228/CRR1535228_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535228/CRR1535228_r2.fq.gz
D27,Lianyu124,modern cultivar,2018,japonica,Heilongjiang,NE,12.18,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536330/CRR1536330_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536330/CRR1536330_r2.fq.gz
D1730,Nangeng3908,modern cultivar,2018,japonica,Jiangsu,CC-J,12.95,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535250/CRR1535250_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535250/CRR1535250_r2.fq.gz
D3009,Yuan144,modern cultivar,2018,indica,Guangxi,SC,14.03,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536684/CRR1536684_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536684/CRR1536684_r2.fq.gz
D1404,Shennuo1,modern cultivar,2018,japonica,Shandong,NC,9.9,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534910/CRR1534910_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1534910/CRR1534910_r2.fq.gz
D274,Jigeng116,modern cultivar,2018,japonica,Jilin,NE,11.63,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536373/CRR1536373_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536373/CRR1536373_r2.fq.gz
D2168,Hui33,modern cultivar,2018,indica,Anhui,CC-I,14.57,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535750/CRR1535750_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535750/CRR1535750_r2.fq.gz
D842,Zhonglonggeng1806,modern cultivar,2019,japonica,Jilin,NE,13.36,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1538038/CRR1538038_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1538038/CRR1538038_r2.fq.gz
D2603,R838,modern cultivar,2019,indica,Sichuan,CC-I,13.18,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536553/CRR1536553_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1536553/CRR1536553_r2.fq.gz
D3782,CNR130,modern cultivar,2019,indica,Zhejiang,CC-I,11.16,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537351/CRR1537351_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1537351/CRR1537351_r2.fq.gz
D2312,Qian2Q351,modern cultivar,2019,indica,Guizhou,SW-I,11.8,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535903/CRR1535903_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535903/CRR1535903_r2.fq.gz
D2386,Qianmahonggui1,modern cultivar,2019,indica,Guizhou,SW-I,12.37,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535980/CRR1535980_r1.fq.gz,ftp://download.big.ac.cn/gsa4/CRA021736/CRR1535980/CRR1535980_r2.fq.gz
