samples	Yield_per_plant
ZJN1195	27.06
ZJN1198	32.5
ZJN1199	39.88
ZJN1204	36.66
ZJN1205	48.91
ZJN1208	33.29
ZJN1209	34.2
ZJN1210	25.34
ZJN1214	17.14
ZJN1218	31.25
ZJN1219	36.24
ZJN1220	32.88
ZJN1224	43.04
ZJN1226	26.16
ZJN1227	29.45
ZJN1228	43.79
ZJN1231	47.15
ZJN1234	47.29
ZJN1245	50.2
ZJN1247	31.58
ZJN1253	28.27
ZJN1254	27.35
ZJN1256	31.94
ZJN1263	42.63
ZJN1266	23.31
ZJN1268	28.66
ZJN1271	27.36
ZJN1273	26.93
ZJN1274	40.07
ZJN1278	20.93
ZJN1280	32.51
ZJN1282	36.61
ZJN1287	23.68
ZJN1289	35.21
ZJN1292	39.24
ZJN1293	21.93
ZJN1294	29.52
ZJN1297	36.09
ZJN1298	26.2
ZJN1300	22.07
ZJN1307	39.27
ZJN1310	36.42
ZJN1312	32.15
ZJN1315	43.39
ZJN1317	36.17
ZJN1319	45.3
ZJN1320	61.39
ZJN1322	29.98
ZJN1327	24.21
ZJN1328	46.14
ZJN1329	33.45
ZJN1334	28.65
ZJN1335	41.24
ZJN1336	21.33
ZJN1337	35.71
ZJN1339	26.61
ZJN1340	48.65
ZJN1341	31.13
ZJN1344	38.65
ZJN1347	40.41
ZJN1354	24.12
ZJN1356	46.65
ZJN1359	51.86
ZJN1362	39.71
ZJN1363	46.15
ZJN1366	57.26
ZJN1369	45.57
ZJN1371	50.36
ZJN1378	30.53
ZJN1379	32.51
ZJN1380	54.99
ZJN1381	39.07
ZJN1382	27.63
ZJN1384	35.74
ZJN1386	21.2
ZJN1387	61.76
ZJN1391	24.97
ZJN1393	22.08
ZJN1394	25.36
ZJN1395	33.78
ZJN1399	24.4
ZJN1400	28.58
ZJN1401	18.29
ZJN1402	36.65
ZJN1403	20.16
ZJN1404	26.12
ZJN1405	32.71
ZJN1409	46.3
ZJN1410	25.55
ZJN1417	35.91
ZJN1421	42.57
ZJN1422	22.56
ZJN1428	33.35
ZJN1429	27.32
ZJN1432	35.62
ZJN1433	31.89
ZJN1439	34.04
ZJN1440	32.7
ZJN1444	24.72
ZJN1446	34.72
ZJN1447	32.58
ZJN1448	24.37
ZJN1452	44.18
ZJN1453	33.19
ZJN1454	35.82
ZJN1455	33.81
ZJN1456	40.61
ZJN1457	46.45
ZJN1460	30.91
ZJN1462	45.4
ZJN1464	32.74
ZJN1470	48.09
ZJN1471	28.12
ZJN1472	33.21
ZJN1476	32.64
ZJN1483	59.12
ZJN1487	59.42
ZJN1488	43.06
ZJN1491	42.6
ZJN1497	24.65
ZJN1501	36.22
ZJN1503	45.14
ZJN1504	31.33
ZJN1507	39.57
ZJN1508	35.35
ZJN1509	40.88
ZJN1511	40.6
ZJN1513	35.24
ZJN1515	47.33
ZJN1516	45.11
ZJN1521	46.89
ZJN1522	39.58
ZJN1524	37.87
ZJN1525	39.07
ZJN1526	32.78
ZJN1527	50.54
ZJN1528	41.54
ZJN1529	29.25
ZJN1530	38.54
ZJN1536	40.42
ZJN1537	33.88
ZJN1538	34.54
ZJN1540	42.31
ZJN1543	52.92
ZJN1545	33.53
ZJN1546	29.51
ZJN1547	27.53
ZJN1548	42.08
ZJN1550	38.56
ZJN1551	22.22
ZJN1552	48.74
ZJN1554	43.22
ZJN1555	33.55
ZJN1556	79.89
ZJN1558	59.5
ZJN1559	52.43
ZJN1562	40.95
ZJN1564	45.05
ZJN1568	48.41
ZJN1570	42.2
ZJN1571	30.63
ZJN1572	46.66
ZJN1573	22.03
ZJN1574	24.47
ZJN1577	32.1
ZJN1578	19.17
ZJN1579	26.02
ZJN1580	41.74
ZJN1581	24.71
ZJN1582	28.55
ZJN1583	49.75
ZJN1584	25.45
ZJN1585	28.85
ZJN1589	41.6
ZJN1590	47.29
ZJN1591	37.92
ZJN1592	32.04
ZJN1593	32.4
ZJN1594	47.09
ZJN1598	43.68
ZJN1599	27.4
ZJN1601	33.1
ZJN1603	35.71
ZJN1604	23.24
ZJN1608	44.88
ZJN1610	28.77
ZJN1612	55.79
ZJN1613	34.92
ZJN1614	34.02
ZJN1619	42.92
ZJN1620	44.46
ZJN1622	61.49
ZJN1623	35.11
ZJN1624	32.38
ZJN1625	23.86
ZJN1627	28.16
ZJN1628	43.34
ZJN1631	45.6
ZJN1634	39.6
ZJN1641	27.06
ZJN1643	44.77
ZJN1644	32.73
ZJN1657	36.67
ZJN1658	26.99
ZJN1661	36.85
ZJN1662	16.21
ZJN1663	25.13
ZJN1666	44.17
ZJN1668	17.68
ZJN1672	20.3
ZJN1674	33.35
ZJN1676	30.86
ZJN1681	25.78
ZJN1682	48.78
ZJN1685	32.39
ZJN1686	36.92
ZJN1688	38.12
ZJN1690	26.47
ZJN1694	10.18
ZJN1696	42.23
ZJN1698	37.64
ZJN1700	46.59
ZJN1702	38.32
ZJN1703	38.62
ZJN1705	60.36
ZJN1710	37.39
ZJN1714	44.12
ZJN1715	29.97
ZJN1716	31.17
ZJN1718	37.83
ZJN1721	30.15
ZJN1722	35.43
ZJN1724	28.78
ZJN1727	29.78
ZJN1728	26.42
