samples	Seed_setting_rate
ZJN1228	0.89
ZJN1231	0.8
ZJN1234	0.69
ZJN1245	0.88
ZJN1247	0.75
ZJN1253	0.69
ZJN1254	0.47
ZJN1256	0.82
ZJN1263	0.87
ZJN1266	0.71
ZJN1268	0.85
ZJN1271	0.83
ZJN1273	0.73
ZJN1274	0.69
ZJN1278	0.74
ZJN1280	0.88
ZJN1282	0.77
ZJN1287	0.66
ZJN1289	0.81
ZJN1292	0.76
ZJN1293	0.75
ZJN1294	0.76
ZJN1297	0.89
ZJN1298	0.84
ZJN1300	0.78
ZJN1307	0.76
ZJN1310	0.85
ZJN1312	0.84
ZJN1315	0.81
ZJN1317	0.77
ZJN1319	0.85
ZJN1320	0.86
ZJN1322	0.91
ZJN1327	0.85
ZJN1328	0.91
ZJN1329	0.86
ZJN1334	0.87
ZJN1335	0.9
ZJN1336	0.91
ZJN1337	0.81
ZJN1339	0.86
ZJN1340	0.89
ZJN1341	0.84
ZJN1344	0.89
ZJN1347	0.82
ZJN1354	0.79
ZJN1356	0.85
ZJN1359	0.86
ZJN1362	0.83
ZJN1363	0.91
ZJN1366	0.83
ZJN1369	0.79
ZJN1371	0.9
ZJN1378	0.78
ZJN1379	0.81
ZJN1380	0.82
ZJN1381	0.79
ZJN1382	0.88
ZJN1384	0.83
ZJN1386	0.62
ZJN1387	0.85
ZJN1391	0.85
ZJN1393	0.83
ZJN1394	0.81
ZJN1395	0.78
ZJN1399	0.82
ZJN1400	0.89
ZJN1401	0.67
ZJN1402	0.84
ZJN1403	0.74
ZJN1404	0.55
ZJN1405	0.88
ZJN1409	0.79
ZJN1410	0.57
ZJN1417	0.86
ZJN1421	0.74
ZJN1422	0.84
ZJN1428	0.71
ZJN1429	0.85
ZJN1432	0.7
ZJN1433	0.76
ZJN1439	0.71
ZJN1440	0.85
ZJN1444	0.79
ZJN1446	0.75
ZJN1447	0.69
ZJN1448	0.66
ZJN1452	0.9
ZJN1453	0.85
ZJN1454	0.77
ZJN1455	0.72
ZJN1456	0.78
ZJN1457	0.88
ZJN1460	0.74
ZJN1462	0.73
ZJN1464	0.86
ZJN1470	0.87
ZJN1471	0.8
ZJN1472	0.78
ZJN1476	0.64
ZJN1483	0.71
ZJN1487	0.84
ZJN1488	0.7
ZJN1491	0.85
ZJN1497	0.73
ZJN1501	0.78
ZJN1503	0.76
ZJN1504	0.89
ZJN1507	0.82
ZJN1508	0.75
ZJN1509	0.75
ZJN1511	0.77
ZJN1513	0.7
ZJN1515	0.76
ZJN1516	0.68
ZJN1521	0.72
ZJN1522	0.87
ZJN1524	0.78
ZJN1525	0.75
ZJN1526	0.78
ZJN1527	0.74
ZJN1528	0.77
ZJN1529	0.88
ZJN1530	0.88
ZJN1536	0.78
ZJN1537	0.83
ZJN1538	0.72
ZJN1540	0.65
ZJN1543	0.86
ZJN1545	0.77
ZJN1546	0.73
ZJN1547	0.6
ZJN1548	0.78
ZJN1550	0.8
ZJN1551	0.8
ZJN1552	0.69
ZJN1554	0.94
ZJN1555	0.75
